"","Batch","Strain","Replicate","DPI","DI","subject"
"1","1","Xp",1,0,1,"Xp.1.1"
"2","1","Xp",2,0,1,"Xp.2.1"
"3","1","Xp",3,0,1,"Xp.3.1"
"4","1","Xp",1,3,1,"Xp.1.1"
"5","1","Xp",2,3,1,"Xp.2.1"
"6","1","Xp",3,3,1,"Xp.3.1"
"7","1","Xp",1,6,3,"Xp.1.1"
"8","1","Xp",2,6,3,"Xp.2.1"
"9","1","Xp",3,6,2,"Xp.3.1"
"10","1","Xp",1,9,3,"Xp.1.1"
"11","1","Xp",2,9,4,"Xp.2.1"
"12","1","Xp",3,9,5,"Xp.3.1"
"13","1","Xp",1,14,5,"Xp.1.1"
"14","1","Xp",2,14,5,"Xp.2.1"
"15","1","Xp",3,14,4,"Xp.3.1"
"16","1","Pc",1,0,1,"Pc.1.1"
"17","1","Pc",2,0,1,"Pc.2.1"
"18","1","Pc",3,0,1,"Pc.3.1"
"19","1","Pc",1,3,1,"Pc.1.1"
"20","1","Pc",2,3,1,"Pc.2.1"
"21","1","Pc",3,3,1,"Pc.3.1"
"22","1","Pc",1,6,1,"Pc.1.1"
"23","1","Pc",2,6,1,"Pc.2.1"
"24","1","Pc",3,6,1,"Pc.3.1"
"25","1","Pc",1,9,1,"Pc.1.1"
"26","1","Pc",2,9,1,"Pc.2.1"
"27","1","Pc",3,9,1,"Pc.3.1"
"28","1","Pc",1,14,1,"Pc.1.1"
"29","1","Pc",2,14,1,"Pc.2.1"
"30","1","Pc",3,14,1,"Pc.3.1"
"31","1","Xa",1,0,1,"Xa.1.1"
"32","1","Xa",2,0,1,"Xa.2.1"
"33","1","Xa",3,0,1,"Xa.3.1"
"34","1","Xa",1,3,1,"Xa.1.1"
"35","1","Xa",2,3,1,"Xa.2.1"
"36","1","Xa",3,3,1,"Xa.3.1"
"37","1","Xa",1,6,1,"Xa.1.1"
"38","1","Xa",2,6,1,"Xa.2.1"
"39","1","Xa",3,6,1,"Xa.3.1"
"40","1","Xa",1,9,1,"Xa.1.1"
"41","1","Xa",2,9,1,"Xa.2.1"
"42","1","Xa",3,9,1,"Xa.3.1"
"43","1","Xa",1,14,1,"Xa.1.1"
"44","1","Xa",2,14,2,"Xa.2.1"
"45","1","Xa",3,14,1,"Xa.3.1"
"46","1","XpPc",1,0,1,"XpPc.1.1"
"47","1","XpPc",2,0,1,"XpPc.2.1"
"48","1","XpPc",3,0,1,"XpPc.3.1"
"49","1","XpPc",1,3,1,"XpPc.1.1"
"50","1","XpPc",2,3,1,"XpPc.2.1"
"51","1","XpPc",3,3,1,"XpPc.3.1"
"52","1","XpPc",1,6,1,"XpPc.1.1"
"53","1","XpPc",2,6,1,"XpPc.2.1"
"54","1","XpPc",3,6,2,"XpPc.3.1"
"55","1","XpPc",1,9,2,"XpPc.1.1"
"56","1","XpPc",2,9,2,"XpPc.2.1"
"57","1","XpPc",3,9,3,"XpPc.3.1"
"58","1","XpPc",1,14,3,"XpPc.1.1"
"59","1","XpPc",2,14,4,"XpPc.2.1"
"60","1","XpPc",3,14,4,"XpPc.3.1"
"61","1","XpXa",1,0,1,"XpXa.1.1"
"62","1","XpXa",2,0,1,"XpXa.2.1"
"63","1","XpXa",3,0,1,"XpXa.3.1"
"64","1","XpXa",1,3,1,"XpXa.1.1"
"65","1","XpXa",2,3,1,"XpXa.2.1"
"66","1","XpXa",3,3,1,"XpXa.3.1"
"67","1","XpXa",1,6,2,"XpXa.1.1"
"68","1","XpXa",2,6,2,"XpXa.2.1"
"69","1","XpXa",3,6,3,"XpXa.3.1"
"70","1","XpXa",1,9,3,"XpXa.1.1"
"71","1","XpXa",2,9,3,"XpXa.2.1"
"72","1","XpXa",3,9,2,"XpXa.3.1"
"73","1","XpXa",1,14,3,"XpXa.1.1"
"74","1","XpXa",2,14,3,"XpXa.2.1"
"75","1","XpXa",3,14,4,"XpXa.3.1"
"76","1","XpPcXa",1,0,1,"XpPcXa.1.1"
"77","1","XpPcXa",2,0,1,"XpPcXa.2.1"
"78","1","XpPcXa",3,0,1,"XpPcXa.3.1"
"79","1","XpPcXa",1,3,2,"XpPcXa.1.1"
"80","1","XpPcXa",2,3,2,"XpPcXa.2.1"
"81","1","XpPcXa",3,3,2,"XpPcXa.3.1"
"82","1","XpPcXa",1,6,3,"XpPcXa.1.1"
"83","1","XpPcXa",2,6,4,"XpPcXa.2.1"
"84","1","XpPcXa",3,6,4,"XpPcXa.3.1"
"85","1","XpPcXa",1,9,4,"XpPcXa.1.1"
"86","1","XpPcXa",2,9,5,"XpPcXa.2.1"
"87","1","XpPcXa",3,9,5,"XpPcXa.3.1"
"88","1","XpPcXa",1,14,5,"XpPcXa.1.1"
"89","1","XpPcXa",2,14,6,"XpPcXa.2.1"
"90","1","XpPcXa",3,14,5,"XpPcXa.3.1"
"91","2","Xp",1,0,1,"Xp.1.2"
"92","2","Xp",2,0,1,"Xp.2.2"
"93","2","Xp",3,0,1,"Xp.3.2"
"94","2","Xp",1,3,1,"Xp.1.2"
"95","2","Xp",2,3,1,"Xp.2.2"
"96","2","Xp",3,3,1,"Xp.3.2"
"97","2","Xp",1,6,3,"Xp.1.2"
"98","2","Xp",2,6,3,"Xp.2.2"
"99","2","Xp",3,6,3,"Xp.3.2"
"100","2","Xp",1,9,3,"Xp.1.2"
"101","2","Xp",2,9,4,"Xp.2.2"
"102","2","Xp",3,9,4,"Xp.3.2"
"103","2","Xp",1,14,4,"Xp.1.2"
"104","2","Xp",2,14,4,"Xp.2.2"
"105","2","Xp",3,14,5,"Xp.3.2"
"106","2","Pc",1,0,1,"Pc.1.2"
"107","2","Pc",2,0,1,"Pc.2.2"
"108","2","Pc",3,0,1,"Pc.3.2"
"109","2","Pc",1,3,1,"Pc.1.2"
"110","2","Pc",2,3,1,"Pc.2.2"
"111","2","Pc",3,3,1,"Pc.3.2"
"112","2","Pc",1,6,1,"Pc.1.2"
"113","2","Pc",2,6,1,"Pc.2.2"
"114","2","Pc",3,6,1,"Pc.3.2"
"115","2","Pc",1,9,1,"Pc.1.2"
"116","2","Pc",2,9,1,"Pc.2.2"
"117","2","Pc",3,9,1,"Pc.3.2"
"118","2","Pc",1,14,1,"Pc.1.2"
"119","2","Pc",2,14,1,"Pc.2.2"
"120","2","Pc",3,14,1,"Pc.3.2"
"121","2","Xa",1,0,1,"Xa.1.2"
"122","2","Xa",2,0,1,"Xa.2.2"
"123","2","Xa",3,0,1,"Xa.3.2"
"124","2","Xa",1,3,1,"Xa.1.2"
"125","2","Xa",2,3,1,"Xa.2.2"
"126","2","Xa",3,3,1,"Xa.3.2"
"127","2","Xa",1,6,1,"Xa.1.2"
"128","2","Xa",2,6,1,"Xa.2.2"
"129","2","Xa",3,6,1,"Xa.3.2"
"130","2","Xa",1,9,1,"Xa.1.2"
"131","2","Xa",2,9,1,"Xa.2.2"
"132","2","Xa",3,9,1,"Xa.3.2"
"133","2","Xa",1,14,1,"Xa.1.2"
"134","2","Xa",2,14,2,"Xa.2.2"
"135","2","Xa",3,14,1,"Xa.3.2"
"136","2","XpPc",1,0,1,"XpPc.1.2"
"137","2","XpPc",2,0,1,"XpPc.2.2"
"138","2","XpPc",3,0,1,"XpPc.3.2"
"139","2","XpPc",1,3,1,"XpPc.1.2"
"140","2","XpPc",2,3,1,"XpPc.2.2"
"141","2","XpPc",3,3,1,"XpPc.3.2"
"142","2","XpPc",1,6,2,"XpPc.1.2"
"143","2","XpPc",2,6,1,"XpPc.2.2"
"144","2","XpPc",3,6,2,"XpPc.3.2"
"145","2","XpPc",1,9,2,"XpPc.1.2"
"146","2","XpPc",2,9,3,"XpPc.2.2"
"147","2","XpPc",3,9,3,"XpPc.3.2"
"148","2","XpPc",1,14,3,"XpPc.1.2"
"149","2","XpPc",2,14,3,"XpPc.2.2"
"150","2","XpPc",3,14,3,"XpPc.3.2"
"151","2","XpXa",1,0,1,"XpXa.1.2"
"152","2","XpXa",2,0,1,"XpXa.2.2"
"153","2","XpXa",3,0,1,"XpXa.3.2"
"154","2","XpXa",1,3,1,"XpXa.1.2"
"155","2","XpXa",2,3,1,"XpXa.2.2"
"156","2","XpXa",3,3,1,"XpXa.3.2"
"157","2","XpXa",1,6,1,"XpXa.1.2"
"158","2","XpXa",2,6,2,"XpXa.2.2"
"159","2","XpXa",3,6,1,"XpXa.3.2"
"160","2","XpXa",1,9,3,"XpXa.1.2"
"161","2","XpXa",2,9,3,"XpXa.2.2"
"162","2","XpXa",3,9,2,"XpXa.3.2"
"163","2","XpXa",1,14,3,"XpXa.1.2"
"164","2","XpXa",2,14,3,"XpXa.2.2"
"165","2","XpXa",3,14,3,"XpXa.3.2"
"166","2","XpPcXa",1,0,1,"XpPcXa.1.2"
"167","2","XpPcXa",2,0,1,"XpPcXa.2.2"
"168","2","XpPcXa",3,0,1,"XpPcXa.3.2"
"169","2","XpPcXa",1,3,2,"XpPcXa.1.2"
"170","2","XpPcXa",2,3,2,"XpPcXa.2.2"
"171","2","XpPcXa",3,3,1,"XpPcXa.3.2"
"172","2","XpPcXa",1,6,4,"XpPcXa.1.2"
"173","2","XpPcXa",2,6,4,"XpPcXa.2.2"
"174","2","XpPcXa",3,6,5,"XpPcXa.3.2"
"175","2","XpPcXa",1,9,4,"XpPcXa.1.2"
"176","2","XpPcXa",2,9,5,"XpPcXa.2.2"
"177","2","XpPcXa",3,9,5,"XpPcXa.3.2"
"178","2","XpPcXa",1,14,5,"XpPcXa.1.2"
"179","2","XpPcXa",2,14,6,"XpPcXa.2.2"
"180","2","XpPcXa",3,14,5,"XpPcXa.3.2"
"181","3","Xp",1,0,1,"Xp.1.3"
"182","3","Xp",2,0,1,"Xp.2.3"
"183","3","Xp",3,0,1,"Xp.3.3"
"184","3","Xp",1,3,1,"Xp.1.3"
"185","3","Xp",2,3,1,"Xp.2.3"
"186","3","Xp",3,3,1,"Xp.3.3"
"187","3","Xp",1,6,3,"Xp.1.3"
"188","3","Xp",2,6,3,"Xp.2.3"
"189","3","Xp",3,6,3,"Xp.3.3"
"190","3","Xp",1,9,4,"Xp.1.3"
"191","3","Xp",2,9,4,"Xp.2.3"
"192","3","Xp",3,9,5,"Xp.3.3"
"193","3","Xp",1,14,4,"Xp.1.3"
"194","3","Xp",2,14,5,"Xp.2.3"
"195","3","Xp",3,14,5,"Xp.3.3"
"196","3","Pc",1,0,1,"Pc.1.3"
"197","3","Pc",2,0,1,"Pc.2.3"
"198","3","Pc",3,0,1,"Pc.3.3"
"199","3","Pc",1,3,1,"Pc.1.3"
"200","3","Pc",2,3,1,"Pc.2.3"
"201","3","Pc",3,3,1,"Pc.3.3"
"202","3","Pc",1,6,1,"Pc.1.3"
"203","3","Pc",2,6,1,"Pc.2.3"
"204","3","Pc",3,6,1,"Pc.3.3"
"205","3","Pc",1,9,1,"Pc.1.3"
"206","3","Pc",2,9,1,"Pc.2.3"
"207","3","Pc",3,9,1,"Pc.3.3"
"208","3","Pc",1,14,1,"Pc.1.3"
"209","3","Pc",2,14,1,"Pc.2.3"
"210","3","Pc",3,14,1,"Pc.3.3"
"211","3","Xa",1,0,1,"Xa.1.3"
"212","3","Xa",2,0,1,"Xa.2.3"
"213","3","Xa",3,0,1,"Xa.3.3"
"214","3","Xa",1,3,1,"Xa.1.3"
"215","3","Xa",2,3,1,"Xa.2.3"
"216","3","Xa",3,3,1,"Xa.3.3"
"217","3","Xa",1,6,1,"Xa.1.3"
"218","3","Xa",2,6,1,"Xa.2.3"
"219","3","Xa",3,6,1,"Xa.3.3"
"220","3","Xa",1,9,1,"Xa.1.3"
"221","3","Xa",2,9,1,"Xa.2.3"
"222","3","Xa",3,9,1,"Xa.3.3"
"223","3","Xa",1,14,1,"Xa.1.3"
"224","3","Xa",2,14,1,"Xa.2.3"
"225","3","Xa",3,14,1,"Xa.3.3"
"226","3","XpPc",1,0,1,"XpPc.1.3"
"227","3","XpPc",2,0,1,"XpPc.2.3"
"228","3","XpPc",3,0,1,"XpPc.3.3"
"229","3","XpPc",1,3,1,"XpPc.1.3"
"230","3","XpPc",2,3,1,"XpPc.2.3"
"231","3","XpPc",3,3,1,"XpPc.3.3"
"232","3","XpPc",1,6,2,"XpPc.1.3"
"233","3","XpPc",2,6,1,"XpPc.2.3"
"234","3","XpPc",3,6,2,"XpPc.3.3"
"235","3","XpPc",1,9,2,"XpPc.1.3"
"236","3","XpPc",2,9,3,"XpPc.2.3"
