Batch,Strain,Replicate,DPI,DI
1,Xp ,1,0,1
1,Xp ,2,0,1
1,Xp ,3,0,1
1,Xp ,1,3,1
1,Xp ,2,3,1
1,Xp ,3,3,1
1,Xp ,1,6,1
1,Xp ,2,6,1
1,Xp ,3,6,1
1,Xp ,1,9,2
1,Xp ,2,9,2
1,Xp ,3,9,1
1,Xp ,1,14,2
1,Xp ,2,14,2
1,Xp ,3,14,1
1,Pc,1,0,1
1,Pc,2,0,1
1,Pc,3,0,1
1,Pc,1,3,1
1,Pc,2,3,1
1,Pc,3,3,1
1,Pc,1,6,1
1,Pc,2,6,1
1,Pc,3,6,1
1,Pc,1,9,1
1,Pc,2,9,1
1,Pc,3,9,1
1,Pc,1,14,1
1,Pc,2,14,1
1,Pc,3,14,1
1,Xa,1,0,1
1,Xa,2,0,1
1,Xa,3,0,1
1,Xa,1,3,1
1,Xa,2,3,1
1,Xa,3,3,1
1,Xa,1,6,1
1,Xa,2,6,1
1,Xa,3,6,1
1,Xa,1,9,1
1,Xa,2,9,1
1,Xa,3,9,1
1,Xa,1,14,1
1,Xa,2,14,1
1,Xa,3,14,1
1,XpPc,1,0,1
1,XpPc,2,0,1
1,XpPc,3,0,1
1,XpPc,1,3,1
1,XpPc,2,3,1
1,XpPc,3,3,1
1,XpPc,1,6,1
1,XpPc,2,6,1
1,XpPc,3,6,1
1,XpPc,1,9,1
1,XpPc,2,9,1
1,XpPc,3,9,1
1,XpPc,1,14,1
1,XpPc,2,14,1
1,XpPc,3,14,1
1,XpXa,1,0,1
1,XpXa,2,0,1
1,XpXa,3,0,1
1,XpXa,1,3,1
1,XpXa,2,3,1
1,XpXa,3,3,1
1,XpXa,1,6,1
1,XpXa,2,6,1
1,XpXa,3,6,1
1,XpXa,1,9,1
1,XpXa,2,9,1
1,XpXa,3,9,1
1,XpXa,1,14,1
1,XpXa,2,14,1
1,XpXa,3,14,1
1, XpPcXa,1,0,1
1, XpPcXa,2,0,1
1, XpPcXa,3,0,1
1, XpPcXa,1,3,1
1, XpPcXa,2,3,1
1, XpPcXa,3,3,1
1, XpPcXa,1,6,1
1, XpPcXa,2,6,1
1, XpPcXa,3,6,1
1, XpPcXa,1,9,2
1, XpPcXa,2,9,1
1, XpPcXa,3,9,1
1, XpPcXa,1,14,2
1, XpPcXa,2,14,2
1, XpPcXa,3,14,1
2,Xp ,1,0,1
2,Xp ,2,0,1
2,Xp ,3,0,1
2,Xp ,1,3,1
2,Xp ,2,3,1
2,Xp ,3,3,1
2,Xp ,1,6,1
2,Xp ,2,6,1
2,Xp ,3,6,1
2,Xp ,1,9,1
2,Xp ,2,9,1
2,Xp ,3,9,2
2,Xp ,1,14,1
2,Xp ,2,14,2
2,Xp ,3,14,2
2,Pc,1,0,1
2,Pc,2,0,1
2,Pc,3,0,1
2,Pc,1,3,1
2,Pc,2,3,1
2,Pc,3,3,1
2,Pc,1,6,1
2,Pc,2,6,1
2,Pc,3,6,1
2,Pc,1,9,1
2,Pc,2,9,1
2,Pc,3,9,1
2,Pc,1,14,1
2,Pc,2,14,1
2,Pc,3,14,1
2,Xa,1,0,1
2,Xa,2,0,1
2,Xa,3,0,1
2,Xa,1,3,1
2,Xa,2,3,1
2,Xa,3,3,1
2,Xa,1,6,1
2,Xa,2,6,1
2,Xa,3,6,1
2,Xa,1,9,1
2,Xa,2,9,1
2,Xa,3,9,1
2,Xa,1,14,1
2,Xa,2,14,1
2,Xa,3,14,1
2,XpPc,1,0,1
2,XpPc,2,0,1
2,XpPc,3,0,1
2,XpPc,1,3,1
2,XpPc,2,3,1
2,XpPc,3,3,1
2,XpPc,1,6,1
2,XpPc,2,6,1
2,XpPc,3,6,1
2,XpPc,1,9,1
2,XpPc,2,9,1
2,XpPc,3,9,1
2,XpPc,1,14,1
2,XpPc,2,14,1
2,XpPc,3,14,1
2,XpXa,1,0,1
2,XpXa,2,0,1
2,XpXa,3,0,1
2,XpXa,1,3,1
2,XpXa,2,3,1
2,XpXa,3,3,1
2,XpXa,1,6,1
2,XpXa,2,6,1
2,XpXa,3,6,1
2,XpXa,1,9,1
2,XpXa,2,9,1
2,XpXa,3,9,1
2,XpXa,1,14,1
2,XpXa,2,14,1
2,XpXa,3,14,1
2, XpPcXa,1,0,1
2, XpPcXa,2,0,1
2, XpPcXa,3,0,1
2, XpPcXa,1,3,1
2, XpPcXa,2,3,1
2, XpPcXa,3,3,1
2, XpPcXa,1,6,1
2, XpPcXa,2,6,1
2, XpPcXa,3,6,2
2, XpPcXa,1,9,2
2, XpPcXa,2,9,1
2, XpPcXa,3,9,1
2, XpPcXa,1,14,2
2, XpPcXa,2,14,2
2, XpPcXa,3,14,1
3,Xp ,1,0,1
3,Xp ,2,0,1
3,Xp ,3,0,1
