Experiment ,Treatment,Replicate,Day,Population
1,Pc,1,Day 0,2.273001272
1,Pc,2,Day 0,1.89279003
1,Pc,3,Day 0,2.608793374
1,Pc,1,Day 3,3.019894829
1,Pc,2,Day 3,2.148062535
1,Pc,3,Day 3,3
1,Pc,1,Day 6,2.555547862
1,Pc,2,Day 6,3.013363962
1,Pc,3,Day 6,3.063051746
1,Pc,1,Day 9,2.89279003
1,Pc,2,Day 9,3.235212711
1,Pc,3,Day 9,3.516039321
1,Pc,1,Day 14,2.89279003
1,Pc,2,Day 14,2.795880017
1,Pc,3,Day 14,2.670941281
1,Pc of XpPc,1,Day 0,1.795880017
1,Pc of XpPc,2,Day 0,1.193820026
1,Pc of XpPc,3,Day 0,1.670941281
1,Pc of XpPc,1,Day 3,3.185046102
1,Pc of XpPc,2,Day 3,2.193820026
1,Pc of XpPc,3,Day 3,2.574031268
1,Pc of XpPc,1,Day 6,4.091447117
1,Pc of XpPc,2,Day 6,4.726574405
1,Pc of XpPc,3,Day 6,4.112898118
1,Pc of XpPc,1,Day 9,4.95724802
1,Pc of XpPc,2,Day 9,4.837272703
1,Pc of XpPc,3,Day 9,5.364081741
1,Pc of XpPc,1,Day 14,4.085914629
1,Pc of XpPc,2,Day 14,4.057142886
1,Pc of XpPc,3,Day 14,4.1981414
1,Pc of XpPcXa,1,Day 0,2.235212711
1,Pc of XpPcXa,2,Day 0,1.494850022
1,Pc of XpPcXa,3,Day 0,2.148062535
1,Pc of XpPcXa,1,Day 3,2.193820026
1,Pc of XpPcXa,2,Day 3,2.369911285
1,Pc of XpPcXa,3,Day 3,2.725298943
1,Pc of XpPcXa,1,Day 6,2.942008053
1,Pc of XpPcXa,2,Day 6,3.446673057
1,Pc of XpPcXa,3,Day 6,3.152861418
1,Pc of XpPcXa,1,Day 9,3.993160575
1,Pc of XpPcXa,2,Day 9,4.413928114
1,Pc of XpPcXa,3,Day 9,4.534264141
1,Pc of XpPcXa,1,Day 14,3.536242707
1,Pc of XpPcXa,2,Day 14,3.725298943
1,Pc of XpPcXa,3,Day 14,4.032669117
2,Pc,1,Day 0,0.795880017
2,Pc,2,Day 0,2.176091259
2,Pc,3,Day 0,2.287241711
2,Pc,1,Day 3,3.574754489
2,Pc,2,Day 3,3.565995312
2,Pc,3,Day 3,3.568201724
2,Pc,1,Day 6,3.424268947
2,Pc,2,Day 6,3.369911285
2,Pc,3,Day 6,3.511883361
2,Pc,1,Day 9,3.750122527
2,Pc,2,Day 9,3.76202175
2,Pc,3,Day 9,2.971971276
2,Pc,1,Day 14,3.574031268
2,Pc,2,Day 14,3.591760035
2,Pc,3,Day 14,3.193820026
2,Pc of XpPc,1,Day 0,0.795880017
2,Pc of XpPc,2,Day 0,0.795880017
2,Pc of XpPc,3,Day 0,1.273001272
2,Pc of XpPc,1,Day 3,3.551754873
2,Pc of XpPc,2,Day 3,3.443262987
2,Pc of XpPc,3,Day 3,3.372221368
2,Pc of XpPc,1,Day 6,5.217443071
2,Pc of XpPc,2,Day 6,5.107568081
2,Pc of XpPc,3,Day 6,5.369911285
2,Pc of XpPc,1,Day 9,5.152861418
2,Pc of XpPc,2,Day 9,5.152861418
2,Pc of XpPc,3,Day 9,5.547928465
2,Pc of XpPc,1,Day 14,5.666576475
2,Pc of XpPc,2,Day 14,5.128318477
2,Pc of XpPc,3,Day 14,4.62518379
2,Pc of XpPcXa,1,Day 0,1.397940009
2,Pc of XpPcXa,2,Day 0,1.397940009
2,Pc of XpPcXa,3,Day 0,0.795880017
2,Pc of XpPcXa,1,Day 3,3.39902439
2,Pc of XpPcXa,2,Day 3,3.702215059
2,Pc of XpPcXa,3,Day 3,3.67669361
2,Pc of XpPcXa,1,Day 6,5.494850022
2,Pc of XpPcXa,2,Day 6,5.473999883
2,Pc of XpPcXa,3,Day 6,3.586516979
2,Pc of XpPcXa,1,Day 9,4.837272703
2,Pc of XpPcXa,2,Day 9,5.080310751
2,Pc of XpPcXa,3,Day 9,4.76202175
2,Pc of XpPcXa,1,Day 14,4.189455221
2,Pc of XpPcXa,2,Day 14,5.778271072
2,Pc of XpPcXa,3,Day 14,5.713813083
