"","Experiment","Treatment","Replicate","DPI","Population","subject"
"1","1","Pc",1,0,2.273001272,"Pc.1.1"
"2","1","Pc",2,0,1.89279003,"Pc.2.1"
"3","1","Pc",3,0,2.608793374,"Pc.3.1"
"4","1","Pc",1,3,3.019894829,"Pc.1.1"
"5","1","Pc",2,3,2.148062535,"Pc.2.1"
"6","1","Pc",3,3,3,"Pc.3.1"
"7","1","Pc",1,6,2.555547862,"Pc.1.1"
"8","1","Pc",2,6,3.013363962,"Pc.2.1"
"9","1","Pc",3,6,3.063051746,"Pc.3.1"
"10","1","Pc",1,9,2.89279003,"Pc.1.1"
"11","1","Pc",2,9,3.235212711,"Pc.2.1"
"12","1","Pc",3,9,3.516039321,"Pc.3.1"
"13","1","Pc",1,14,2.89279003,"Pc.1.1"
"14","1","Pc",2,14,2.795880017,"Pc.2.1"
"15","1","Pc",3,14,2.670941281,"Pc.3.1"
"16","1","Pc of XpPc",1,0,1.795880017,"Pc of XpPc.1.1"
"17","1","Pc of XpPc",2,0,1.193820026,"Pc of XpPc.2.1"
"18","1","Pc of XpPc",3,0,1.670941281,"Pc of XpPc.3.1"
"19","1","Pc of XpPc",1,3,3.185046102,"Pc of XpPc.1.1"
"20","1","Pc of XpPc",2,3,2.193820026,"Pc of XpPc.2.1"
"21","1","Pc of XpPc",3,3,2.574031268,"Pc of XpPc.3.1"
"22","1","Pc of XpPc",1,6,4.091447117,"Pc of XpPc.1.1"
"23","1","Pc of XpPc",2,6,4.726574405,"Pc of XpPc.2.1"
"24","1","Pc of XpPc",3,6,4.112898118,"Pc of XpPc.3.1"
"25","1","Pc of XpPc",1,9,4.95724802,"Pc of XpPc.1.1"
"26","1","Pc of XpPc",2,9,4.837272703,"Pc of XpPc.2.1"
"27","1","Pc of XpPc",3,9,5.364081741,"Pc of XpPc.3.1"
"28","1","Pc of XpPc",1,14,4.085914629,"Pc of XpPc.1.1"
"29","1","Pc of XpPc",2,14,4.057142886,"Pc of XpPc.2.1"
"30","1","Pc of XpPc",3,14,4.1981414,"Pc of XpPc.3.1"
"31","1","Pc of XpPcXa",1,0,2.235212711,"Pc of XpPcXa.1.1"
"32","1","Pc of XpPcXa",2,0,1.494850022,"Pc of XpPcXa.2.1"
"33","1","Pc of XpPcXa",3,0,2.148062535,"Pc of XpPcXa.3.1"
"34","1","Pc of XpPcXa",1,3,2.193820026,"Pc of XpPcXa.1.1"
"35","1","Pc of XpPcXa",2,3,2.369911285,"Pc of XpPcXa.2.1"
"36","1","Pc of XpPcXa",3,3,2.725298943,"Pc of XpPcXa.3.1"
"37","1","Pc of XpPcXa",1,6,2.942008053,"Pc of XpPcXa.1.1"
"38","1","Pc of XpPcXa",2,6,3.446673057,"Pc of XpPcXa.2.1"
"39","1","Pc of XpPcXa",3,6,3.152861418,"Pc of XpPcXa.3.1"
"40","1","Pc of XpPcXa",1,9,3.993160575,"Pc of XpPcXa.1.1"
"41","1","Pc of XpPcXa",2,9,4.413928114,"Pc of XpPcXa.2.1"
"42","1","Pc of XpPcXa",3,9,4.534264141,"Pc of XpPcXa.3.1"
"43","1","Pc of XpPcXa",1,14,3.536242707,"Pc of XpPcXa.1.1"
"44","1","Pc of XpPcXa",2,14,3.725298943,"Pc of XpPcXa.2.1"
"45","1","Pc of XpPcXa",3,14,4.032669117,"Pc of XpPcXa.3.1"
"46","2","Pc",1,0,0.795880017,"Pc.1.2"
"47","2","Pc",2,0,2.176091259,"Pc.2.2"
"48","2","Pc",3,0,2.287241711,"Pc.3.2"
"49","2","Pc",1,3,3.574754489,"Pc.1.2"
