Experiment ,Treatment,Replicate,Day,Population
1,Pc,1,Day 0,1.670941281
1,Pc,2,Day 0,1.494850022
1,Pc,3,Day 0,1.795880017
1,Pc,1,Day 3,3.355188028
1,Pc,2,Day 3,3.358172882
1,Pc,3,Day 3,1.670941281
1,Pc,1,Day 6,1.494850022
1,Pc,2,Day 6,2.555547862
1,Pc,3,Day 6,3.051152522
1,Pc,1,Day 9,2.971971276
1,Pc,2,Day 9,2.494850022
1,Pc,3,Day 9,2.89279003
1,Pc,1,Day 14,2.591760035
1,Pc,2,Day 14,1.193820026
1,Pc,3,Day 14,1.193820026
1,Pc of XpPc,1,Day 0,1.89279003
1,Pc of XpPc,2,Day 0,1.193820026
1,Pc of XpPc,3,Day 0,1.795880017
1,Pc of XpPc,1,Day 3,1.193820026
1,Pc of XpPc,2,Day 3,2.307763378
1,Pc of XpPc,3,Day 3,3.290730039
1,Pc of XpPc,1,Day 6,4.364081741
1,Pc of XpPc,2,Day 6,4.386944624
1,Pc of XpPc,3,Day 6,3.698970004
1,Pc of XpPc,1,Day 9,4.138302698
1,Pc of XpPc,2,Day 9,4.045078375
1,Pc of XpPc,3,Day 9,4.157607853
1,Pc of XpPc,1,Day 14,2.193820026
1,Pc of XpPc,2,Day 14,4.102305045
1,Pc of XpPc,3,Day 14,4.157607853
1,Pc of XpPcXa,1,Day 0,2.038918066
1,Pc of XpPcXa,2,Day 0,1.494850022
1,Pc of XpPcXa,3,Day 0,1.494850022
1,Pc of XpPcXa,1,Day 3,3.133339279
1,Pc of XpPcXa,2,Day 3,1.494850022
1,Pc of XpPcXa,3,Day 3,2.516039321
1,Pc of XpPcXa,1,Day 6,3.640978057
1,Pc of XpPcXa,2,Day 6,3.656218024
1,Pc of XpPcXa,3,Day 6,3.339948062
1,Pc of XpPcXa,1,Day 9,3.494850022
1,Pc of XpPcXa,2,Day 9,3.339948062
1,Pc of XpPcXa,3,Day 9,4.143210033
1,Pc of XpPcXa,1,Day 14,3.875061263
1,Pc of XpPcXa,2,Day 14,3.750122527
1,Pc of XpPcXa,3,Day 14,3.817069316
2,Pc,1,Day 0,2.314393957
2,Pc,2,Day 0,0.795880017
2,Pc,3,Day 0,0.795880017
2,Pc,1,Day 3,3.253761914
2,Pc,2,Day 3,2.980571448
2,Pc,3,Day 3,2.954242509
2,Pc,1,Day 6,1.942008053
2,Pc,2,Day 6,2.67669361
2,Pc,3,Day 6,3.472573627
2,Pc,1,Day 9,1.193820026
2,Pc,2,Day 9,1.494850022
2,Pc,3,Day 9,1.193820026
2,Pc,1,Day 14,1.193820026
2,Pc,2,Day 14,1.193820026
2,Pc,3,Day 14,1.193820026
2,Pc of XpPc,1,Day 0,0.795880017
2,Pc of XpPc,2,Day 0,1.096910013
2,Pc of XpPc,3,Day 0,0.795880017
2,Pc of XpPc,1,Day 3,3.556302501
2,Pc of XpPc,2,Day 3,3.588971618
2,Pc of XpPc,3,Day 3,3.375663614
2,Pc of XpPc,1,Day 6,3.417056299
2,Pc of XpPc,2,Day 6,3.359361103
2,Pc of XpPc,3,Day 6,3.002705893
2,Pc of XpPc,1,Day 9,3.918095896
2,Pc of XpPc,2,Day 9,3.574031268
2,Pc of XpPc,3,Day 9,3.773603623
2,Pc of XpPc,1,Day 14,3.516039321
2,Pc of XpPc,2,Day 14,3.494850022
2,Pc of XpPc,3,Day 14,3.784884633
2,Pc of XpPcXa,1,Day 0,0.795880017
2,Pc of XpPcXa,2,Day 0,1.096910013
2,Pc of XpPcXa,3,Day 0,0.795880017
2,Pc of XpPcXa,1,Day 3,3.360546082
2,Pc of XpPcXa,2,Day 3,3.392477113
2,Pc of XpPcXa,3,Day 3,3.680675381
2,Pc of XpPcXa,1,Day 6,3.290034611
2,Pc of XpPcXa,2,Day 6,3.34610837
2,Pc of XpPcXa,3,Day 6,3.244586337
2,Pc of XpPcXa,1,Day 9,3.84703254
2,Pc of XpPcXa,2,Day 9,3.424268947
2,Pc of XpPcXa,3,Day 9,4.62518379
2,Pc of XpPcXa,1,Day 14,2.89279003
2,Pc of XpPcXa,2,Day 14,3.397940009
2,Pc of XpPcXa,3,Day 14,3.84703254
