"","Experiment","Treatment","Replicate","DPI","Population","subject"
"1","1","Pc",1,0,1.670941281,"Pc.1.1"
"2","1","Pc",2,0,1.494850022,"Pc.2.1"
"3","1","Pc",3,0,1.795880017,"Pc.3.1"
"4","1","Pc",1,3,3.355188028,"Pc.1.1"
"5","1","Pc",2,3,3.358172882,"Pc.2.1"
"6","1","Pc",3,3,1.670941281,"Pc.3.1"
"7","1","Pc",1,6,1.494850022,"Pc.1.1"
"8","1","Pc",2,6,2.555547862,"Pc.2.1"
"9","1","Pc",3,6,3.051152522,"Pc.3.1"
"10","1","Pc",1,9,2.971971276,"Pc.1.1"
"11","1","Pc",2,9,2.494850022,"Pc.2.1"
"12","1","Pc",3,9,2.89279003,"Pc.3.1"
"13","1","Pc",1,14,2.591760035,"Pc.1.1"
"14","1","Pc",2,14,1.193820026,"Pc.2.1"
"15","1","Pc",3,14,1.193820026,"Pc.3.1"
"16","1","Pc of XpPc",1,0,1.89279003,"Pc of XpPc.1.1"
"17","1","Pc of XpPc",2,0,1.193820026,"Pc of XpPc.2.1"
"18","1","Pc of XpPc",3,0,1.795880017,"Pc of XpPc.3.1"
"19","1","Pc of XpPc",1,3,1.193820026,"Pc of XpPc.1.1"
"20","1","Pc of XpPc",2,3,2.307763378,"Pc of XpPc.2.1"
"21","1","Pc of XpPc",3,3,3.290730039,"Pc of XpPc.3.1"
"22","1","Pc of XpPc",1,6,4.364081741,"Pc of XpPc.1.1"
"23","1","Pc of XpPc",2,6,4.386944624,"Pc of XpPc.2.1"
"24","1","Pc of XpPc",3,6,3.698970004,"Pc of XpPc.3.1"
"25","1","Pc of XpPc",1,9,4.138302698,"Pc of XpPc.1.1"
"26","1","Pc of XpPc",2,9,4.045078375,"Pc of XpPc.2.1"
"27","1","Pc of XpPc",3,9,4.157607853,"Pc of XpPc.3.1"
"28","1","Pc of XpPc",1,14,2.193820026,"Pc of XpPc.1.1"
"29","1","Pc of XpPc",2,14,4.102305045,"Pc of XpPc.2.1"
"30","1","Pc of XpPc",3,14,4.157607853,"Pc of XpPc.3.1"
"31","1","Pc of XpPcXa",1,0,2.038918066,"Pc of XpPcXa.1.1"
"32","1","Pc of XpPcXa",2,0,1.494850022,"Pc of XpPcXa.2.1"
"33","1","Pc of XpPcXa",3,0,1.494850022,"Pc of XpPcXa.3.1"
"34","1","Pc of XpPcXa",1,3,3.133339279,"Pc of XpPcXa.1.1"
"35","1","Pc of XpPcXa",2,3,1.494850022,"Pc of XpPcXa.2.1"
"36","1","Pc of XpPcXa",3,3,2.516039321,"Pc of XpPcXa.3.1"
"37","1","Pc of XpPcXa",1,6,3.640978057,"Pc of XpPcXa.1.1"
"38","1","Pc of XpPcXa",2,6,3.656218024,"Pc of XpPcXa.2.1"
"39","1","Pc of XpPcXa",3,6,3.339948062,"Pc of XpPcXa.3.1"
"40","1","Pc of XpPcXa",1,9,3.494850022,"Pc of XpPcXa.1.1"
