"","X","Experiment","Treatment","Replicate","DPI","Humidity","Population","subject"
"1",1,"1","Xa",1,0,"High",0.795880017,"Xa.1.1"
"2",2,"1","Xa",2,0,"High",1.096910013,"Xa.2.1"
"3",3,"1","Xa",3,0,"High",0.795880017,"Xa.3.1"
"4",4,"1","Xa",1,3,"High",3.333699112,"Xa.1.1"
"5",5,"1","Xa",2,3,"High",3.311091322,"Xa.2.1"
"6",6,"1","Xa",3,3,"High",2.837272703,"Xa.3.1"
"7",7,"1","Xa",1,6,"High",3.73539927,"Xa.1.1"
"8",8,"1","Xa",2,6,"High",4.941236659,"Xa.2.1"
"9",9,"1","Xa",3,6,"High",5.232738092,"Xa.3.1"
"10",10,"1","Xa",1,9,"High",4.503450193,"Xa.1.1"
"11",11,"1","Xa",2,9,"High",4.381340747,"Xa.2.1"
"12",12,"1","Xa",3,9,"High",3.574031268,"Xa.3.1"
"13",13,"1","Xa",1,14,"High",3.219125891,"Xa.1.1"
"14",14,"1","Xa",2,14,"High",1.971971276,"Xa.2.1"
"15",15,"1","Xa",3,14,"High",4.779385839,"Xa.3.1"
"16",16,"1","Xa of XpXa",1,0,"High",1.494850022,"Xa of XpXa.1.1"
"17",17,"1","Xa of XpXa",2,0,"High",2,"Xa of XpXa.2.1"
"18",18,"1","Xa of XpXa",3,0,"High",1.273001272,"Xa of XpXa.3.1"
"19",19,"1","Xa of XpXa",1,3,"High",3.564887888,"Xa of XpXa.1.1"
"20",20,"1","Xa of XpXa",2,3,"High",5.151068046,"Xa of XpXa.2.1"
"21",21,"1","Xa of XpXa",3,3,"High",5.087364695,"Xa of XpXa.3.1"
"22",22,"1","Xa of XpXa",1,6,"High",5.232738092,"Xa of XpXa.1.1"
"23",23,"1","Xa of XpXa",2,6,"High",5.987523124,"Xa of XpXa.2.1"
"24",24,"1","Xa of XpXa",3,6,"High",5.998300215,"Xa of XpXa.3.1"
"25",25,"1","Xa of XpXa",1,9,"High",6.506204773,"Xa of XpXa.1.1"
"26",26,"1","Xa of XpXa",2,9,"High",6.571145579,"Xa of XpXa.2.1"
"27",27,"1","Xa of XpXa",3,9,"High",6.713813083,"Xa of XpXa.3.1"
"28",28,"1","Xa of XpXa",1,14,"High",4.600360206,"Xa of XpXa.1.1"
"29",29,"1","Xa of XpXa",2,14,"High",6.028386835,"Xa of XpXa.2.1"
"30",30,"1","Xa of XpXa",3,14,"High",6.193820026,"Xa of XpXa.3.1"
"31",31,"1","Xa of XpPcXa",1,0,"High",0.795880017,"Xa of XpPcXa.1.1"
"32",32,"1","Xa of XpPcXa",2,0,"High",1.273001272,"Xa of XpPcXa.2.1"
"33",33,"1","Xa of XpPcXa",3,0,"High",1.096910013,"Xa of XpPcXa.3.1"
"34",34,"1","Xa of XpPcXa",1,3,"High",3.610460533,"Xa of XpPcXa.1.1"
"35",35,"1","Xa of XpPcXa",2,3,"High",3.595220567,"Xa of XpPcXa.2.1"
"36",36,"1","Xa of XpPcXa",3,3,"High",3.436858075,"Xa of XpPcXa.3.1"
"37",37,"1","Xa of XpPcXa",1,6,"High",5.652457875,"Xa of XpPcXa.1.1"
"38",38,"1","Xa of XpPcXa",2,6,"High",5.452098041,"Xa of XpPcXa.2.1"
"39",39,"1","Xa of XpPcXa",3,6,"High",5.657152996,"Xa of XpPcXa.3.1"
"40",40,"1","Xa of XpPcXa",1,9,"High",6.658295755,"Xa of XpPcXa.1.1"
"41",41,"1","Xa of XpPcXa",2,9,"High",6.583044803,"Xa of XpPcXa.2.1"
"42",42,"1","Xa of XpPcXa",3,9,"High",5.1981414,"Xa of XpPcXa.3.1"
"43",43,"1","Xa of XpPcXa",1,14,"High",6.477241077,"Xa of XpPcXa.1.1"
"44",44,"1","Xa of XpPcXa",2,14,"High",6.627626935,"Xa of XpPcXa.2.1"
"45",45,"1","Xa of XpPcXa",3,14,"High",4.827288482,"Xa of XpPcXa.3.1"
"46",46,"2","Xa",1,0,"High",2.408663874,"Xa.1.2"
"47",47,"2","Xa",2,0,"High",1.795880017,"Xa.2.2"
"48",48,"2","Xa",3,0,"High",2.096910013,"Xa.3.2"
"49",49,"2","Xa",1,3,"High",2.235212711,"Xa.1.2"
"50",50,"2","Xa",2,3,"High",2.397940009,"Xa.2.2"
"51",51,"2","Xa",3,3,"High",3.133339279,"Xa.3.2"
"52",52,"2","Xa",1,6,"High",3.148062535,"Xa.1.2"
"53",53,"2","Xa",2,6,"High",3.193820026,"Xa.2.2"
"54",54,"2","Xa",3,6,"High",5.506204773,"Xa.3.2"
"55",55,"2","Xa",1,9,"High",2.591760035,"Xa.1.2"
"56",56,"2","Xa",2,9,"High",4.739118948,"Xa.2.2"
"57",57,"2","Xa",3,9,"High",4.605907686,"Xa.3.2"
"58",58,"2","Xa",1,14,"High",3.640978057,"Xa.1.2"
"59",59,"2","Xa",2,14,"High",2.494850022,"Xa.2.2"
"60",60,"2","Xa",3,14,"High",3.608793374,"Xa.3.2"
"61",61,"2","Xa of XpXa",1,0,"High",2.364081741,"Xa of XpXa.1.2"
"62",62,"2","Xa of XpXa",2,0,"High",1.397940009,"Xa of XpXa.2.2"
"63",63,"2","Xa of XpXa",3,0,"High",2.511883361,"Xa of XpXa.3.2"
"64",64,"2","Xa of XpXa",1,3,"High",3.84703254,"Xa of XpXa.1.2"
"65",65,"2","Xa of XpXa",2,3,"High",4.219125891,"Xa of XpXa.2.2"
"66",66,"2","Xa of XpXa",3,3,"High",4.791515212,"Xa of XpXa.3.2"
"67",67,"2","Xa of XpXa",1,6,"High",6.396240224,"Xa of XpXa.1.2"
"68",68,"2","Xa of XpXa",2,6,"High",5.884074798,"Xa of XpXa.2.2"
"69",69,"2","Xa of XpXa",3,6,"High",5.866101427,"Xa of XpXa.3.2"
"70",70,"2","Xa of XpXa",1,9,"High",5.52117896,"Xa of XpXa.1.2"
"71",71,"2","Xa of XpXa",2,9,"High",5.481061737,"Xa of XpXa.2.2"
"72",72,"2","Xa of XpXa",3,9,"High",5.452098041,"Xa of XpXa.3.2"
"73",73,"2","Xa of XpXa",1,14,"High",4.269366987,"Xa of XpXa.1.2"
"74",74,"2","Xa of XpXa",2,14,"High",4.645606462,"Xa of XpXa.2.2"
"75",75,"2","Xa of XpXa",3,14,"High",5.558911123,"Xa of XpXa.3.2"
