Experiment ,Treatment,Replicate,Day,Humidity,Population
1,Xa,1,Day 0,Low,1.096910013
1,Xa,2,Day 0,Low,1.698970004
1,Xa,3,Day 0,Low,1.273001272
1,Xa,1,Day 3,Low,2.837272703
1,Xa,2,Day 3,Low,3.107633878
1,Xa,3,Day 3,Low,1.670941281
1,Xa,1,Day 6,Low,3.026328939
1,Xa,2,Day 6,Low,1.193820026
1,Xa,3,Day 6,Low,1.795880017
1,Xa,1,Day 9,Low,1.494850022
1,Xa,2,Day 9,Low,3.1981414
1,Xa,3,Day 9,Low,1.795880017
1,Xa,1,Day 14,Low,2.339948062
1,Xa,2,Day 14,Low,1.89279003
1,Xa,3,Day 14,Low,1.670941281
1,Xa of XpXa,1,Day 0,Low,1.096910013
1,Xa of XpXa,2,Day 0,Low,1.698970004
1,Xa of XpXa,3,Day 0,Low,1.273001272
1,Xa of XpXa,1,Day 3,Low,4.995594322
1,Xa of XpXa,2,Day 3,Low,3.526258486
1,Xa of XpXa,3,Day 3,Low,3.006733383
1,Xa of XpXa,1,Day 6,Low,5.563731311
1,Xa of XpXa,2,Day 6,Low,4.867807742
1,Xa of XpXa,3,Day 6,Low,4.900808002
1,Xa of XpXa,1,Day 9,Low,5.519993057
1,Xa of XpXa,2,Day 9,Low,5.429816427
1,Xa of XpXa,3,Day 9,Low,5.506204773
1,Xa of XpXa,1,Day 14,Low,3.057142886
1,Xa of XpXa,2,Day 14,Low,2.369911285
1,Xa of XpXa,3,Day 14,Low,3.210853365
1,Xa of XpPcXa,1,Day 0,Low,0.795880017
1,Xa of XpPcXa,2,Day 0,Low,0.795880017
1,Xa of XpPcXa,3,Day 0,Low,1.750122527
1,Xa of XpPcXa,1,Day 3,Low,3.162302975
1,Xa of XpPcXa,2,Day 3,Low,2.95724802
1,Xa of XpPcXa,3,Day 3,Low,3.67669361
1,Xa of XpPcXa,1,Day 6,Low,3.40600763
1,Xa of XpPcXa,2,Day 6,Low,3.138302698
1,Xa of XpPcXa,3,Day 6,Low,3.509790371
1,Xa of XpPcXa,1,Day 9,Low,3.90982337
1,Xa of XpPcXa,2,Day 9,Low,4.068881289
1,Xa of XpPcXa,3,Day 9,Low,3.536242707
1,Xa of XpPcXa,1,Day 14,Low,2.235212711
1,Xa of XpPcXa,2,Day 14,Low,3
1,Xa of XpPcXa,3,Day 14,Low,2.68518172
2,Xa,1,Day 0,Low,2.424268947
2,Xa,2,Day 0,Low,1.494850022
2,Xa,3,Day 0,Low,2.424268947
2,Xa,1,Day 3,Low,2.555547862
2,Xa,2,Day 3,Low,2.942008053
2,Xa,3,Day 3,Low,3.080310751
2,Xa,1,Day 6,Low,3.34610837
2,Xa,2,Day 6,Low,3.453891414
2,Xa,3,Day 6,Low,4.638092369
2,Xa,1,Day 9,Low,3.330540593
2,Xa,2,Day 9,Low,3.444240028
2,Xa,3,Day 9,Low,4.770717934
2,Xa,1,Day 14,Low,2.536242707
2,Xa,2,Day 14,Low,2.307763378
2,Xa,3,Day 14,Low,3.107633878
2,Xa of XpXa,1,Day 0,Low,2.934182716
2,Xa of XpXa,2,Day 0,Low,2.95724802
2,Xa of XpXa,3,Day 0,Low,2.62518379
2,Xa of XpXa,1,Day 3,Low,4.294190571
2,Xa of XpXa,2,Day 3,Low,3.608793374
2,Xa of XpXa,3,Day 3,Low,4.421706731
2,Xa of XpXa,1,Day 6,Low,5.051452139
2,Xa of XpXa,2,Day 6,Low,5.020417905
2,Xa of XpXa,3,Day 6,Low,3.384151724
2,Xa of XpXa,1,Day 9,Low,5.387640052
