"","Experiment","Treatment","Replicate","DPI","Humidity","Population","subject"
"1","1","Xa",1,0,"Low",1.096910013,"Xa.1.1"
"2","1","Xa",2,0,"Low",1.698970004,"Xa.2.1"
"3","1","Xa",3,0,"Low",1.273001272,"Xa.3.1"
"4","1","Xa",1,3,"Low",2.837272703,"Xa.1.1"
"5","1","Xa",2,3,"Low",3.107633878,"Xa.2.1"
"6","1","Xa",3,3,"Low",1.670941281,"Xa.3.1"
"7","1","Xa",1,6,"Low",3.026328939,"Xa.1.1"
"8","1","Xa",2,6,"Low",1.193820026,"Xa.2.1"
"9","1","Xa",3,6,"Low",1.795880017,"Xa.3.1"
"10","1","Xa",1,9,"Low",1.494850022,"Xa.1.1"
"11","1","Xa",2,9,"Low",3.1981414,"Xa.2.1"
"12","1","Xa",3,9,"Low",1.795880017,"Xa.3.1"
"13","1","Xa",1,14,"Low",2.339948062,"Xa.1.1"
"14","1","Xa",2,14,"Low",1.89279003,"Xa.2.1"
"15","1","Xa",3,14,"Low",1.670941281,"Xa.3.1"
"16","1","Xa of XpXa",1,0,"Low",1.096910013,"Xa of XpXa.1.1"
"17","1","Xa of XpXa",2,0,"Low",1.698970004,"Xa of XpXa.2.1"
"18","1","Xa of XpXa",3,0,"Low",1.273001272,"Xa of XpXa.3.1"
"19","1","Xa of XpXa",1,3,"Low",4.995594322,"Xa of XpXa.1.1"
"20","1","Xa of XpXa",2,3,"Low",3.526258486,"Xa of XpXa.2.1"
"21","1","Xa of XpXa",3,3,"Low",3.006733383,"Xa of XpXa.3.1"
"22","1","Xa of XpXa",1,6,"Low",5.563731311,"Xa of XpXa.1.1"
"23","1","Xa of XpXa",2,6,"Low",4.867807742,"Xa of XpXa.2.1"
"24","1","Xa of XpXa",3,6,"Low",4.900808002,"Xa of XpXa.3.1"
"25","1","Xa of XpXa",1,9,"Low",5.519993057,"Xa of XpXa.1.1"
"26","1","Xa of XpXa",2,9,"Low",5.429816427,"Xa of XpXa.2.1"
"27","1","Xa of XpXa",3,9,"Low",5.506204773,"Xa of XpXa.3.1"
"28","1","Xa of XpXa",1,14,"Low",3.057142886,"Xa of XpXa.1.1"
"29","1","Xa of XpXa",2,14,"Low",2.369911285,"Xa of XpXa.2.1"
"30","1","Xa of XpXa",3,14,"Low",3.210853365,"Xa of XpXa.3.1"
"31","1","Xa of XpPcXa",1,0,"Low",0.795880017,"Xa of XpPcXa.1.1"
"32","1","Xa of XpPcXa",2,0,"Low",0.795880017,"Xa of XpPcXa.2.1"
"33","1","Xa of XpPcXa",3,0,"Low",1.750122527,"Xa of XpPcXa.3.1"
"34","1","Xa of XpPcXa",1,3,"Low",3.162302975,"Xa of XpPcXa.1.1"
"35","1","Xa of XpPcXa",2,3,"Low",2.95724802,"Xa of XpPcXa.2.1"
"36","1","Xa of XpPcXa",3,3,"Low",3.67669361,"Xa of XpPcXa.3.1"
"37","1","Xa of XpPcXa",1,6,"Low",3.40600763,"Xa of XpPcXa.1.1"
"38","1","Xa of XpPcXa",2,6,"Low",3.138302698,"Xa of XpPcXa.2.1"
"39","1","Xa of XpPcXa",3,6,"Low",3.509790371,"Xa of XpPcXa.3.1"
"40","1","Xa of XpPcXa",1,9,"Low",3.90982337,"Xa of XpPcXa.1.1"
"41","1","Xa of XpPcXa",2,9,"Low",4.068881289,"Xa of XpPcXa.2.1"
"42","1","Xa of XpPcXa",3,9,"Low",3.536242707,"Xa of XpPcXa.3.1"
"43","1","Xa of XpPcXa",1,14,"Low",2.235212711,"Xa of XpPcXa.1.1"
"44","1","Xa of XpPcXa",2,14,"Low",3,"Xa of XpPcXa.2.1"
"45","1","Xa of XpPcXa",3,14,"Low",2.68518172,"Xa of XpPcXa.3.1"
"46","2","Xa",1,0,"Low",2.424268947,"Xa.1.2"
"47","2","Xa",2,0,"Low",1.494850022,"Xa.2.2"
"48","2","Xa",3,0,"Low",2.424268947,"Xa.3.2"
"49","2","Xa",1,3,"Low",2.555547862,"Xa.1.2"
"50","2","Xa",2,3,"Low",2.942008053,"Xa.2.2"
"51","2","Xa",3,3,"Low",3.080310751,"Xa.3.2"
"52","2","Xa",1,6,"Low",3.34610837,"Xa.1.2"
"53","2","Xa",2,6,"Low",3.453891414,"Xa.2.2"
"54","2","Xa",3,6,"Low",4.638092369,"Xa.3.2"
"55","2","Xa",1,9,"Low",3.330540593,"Xa.1.2"
"56","2","Xa",2,9,"Low",3.444240028,"Xa.2.2"
"57","2","Xa",3,9,"Low",4.770717934,"Xa.3.2"
"58","2","Xa",1,14,"Low",2.536242707,"Xa.1.2"
"59","2","Xa",2,14,"Low",2.307763378,"Xa.2.2"
"60","2","Xa",3,14,"Low",3.107633878,"Xa.3.2"
"61","2","Xa of XpXa",1,0,"Low",2.934182716,"Xa of XpXa.1.2"
"62","2","Xa of XpXa",2,0,"Low",2.95724802,"Xa of XpXa.2.2"
