Experiment ,Treatment,Replicate,Day,Humidity,Population
1,Xp ,1,Day 0,Low,2.287241711
1,Xp ,2,Day 0,Low,2.467977875
1,Xp ,3,Day 0,Low,2.653212514
1,Xp ,1,Day 3,Low,5.381340747
1,Xp ,2,Day 3,Low,5.290730039
1,Xp ,3,Day 3,Low,5.574031268
1,Xp ,1,Day 6,Low,6.763031106
1,Xp ,2,Day 6,Low,7.311919338
1,Xp ,3,Day 6,Low,7.421063808
1,Xp ,1,Day 9,Low,6.596940547
1,Xp ,2,Day 9,Low,6.381340747
1,Xp ,3,Day 9,Low,6.458637849
1,Xp ,1,Day 14,Low,6.419129308
1,Xp ,2,Day 14,Low,6.283725137
1,Xp ,3,Day 14,Low,6.439332694
1,Xp of XpPc,1,Day 0,Low,2.566732029
1,Xp of XpPc,2,Day 0,Low,2.864065879
1,Xp of XpPc,3,Day 0,Low,2.458637849
1,Xp of XpPc,1,Day 3,Low,4.725298943
1,Xp of XpPc,2,Day 3,Low,5.112898118
1,Xp of XpPc,3,Day 3,Low,5.091447117
1,Xp of XpPc,1,Day 6,Low,7.322138503
1,Xp of XpPc,2,Day 6,Low,6.739118948
1,Xp of XpPc,3,Day 6,Low,7.126873236
1,Xp of XpPc,1,Day 9,Low,6.713975913
1,Xp of XpPc,2,Day 9,Low,6.8026134
1,Xp of XpPc,3,Day 9,Low,6.52117896
1,Xp of XpPc,1,Day 14,Low,5.386944624
1,Xp of XpPc,2,Day 14,Low,6.658295755
1,Xp of XpPc,3,Day 14,Low,6.39505432
1,Xp of XpXa,1,Day 0,Low,2.720159303
1,Xp of XpXa,2,Day 0,Low,2.258278015
1,Xp of XpXa,3,Day 0,Low,1.397940009
1,Xp of XpXa,1,Day 3,Low,5.1981414
1,Xp of XpXa,2,Day 3,Low,5.389719678
1,Xp of XpXa,3,Day 3,Low,5.080310751
1,Xp of XpXa,1,Day 6,Low,7.268453644
1,Xp of XpXa,2,Day 6,Low,7.332122724
1,Xp of XpXa,3,Day 6,Low,6.921492601
1,Xp of XpXa,1,Day 9,Low,6.612949334
1,Xp of XpXa,2,Day 9,Low,6.815774846
1,Xp of XpXa,3,Day 9,Low,6.705703387
1,Xp of XpXa,1,Day 14,Low,6.763031106
1,Xp of XpXa,2,Day 14,Low,6.67760091
1,Xp of XpXa,3,Day 14,Low,5.634729108
