"","Experiment","Treatment","Replicate","DPI","Humidity","Population","subject"
"1","1","Xp ",1,0,"Low",2.287241711,"Xp .1.1"
"2","1","Xp ",2,0,"Low",2.467977875,"Xp .2.1"
"3","1","Xp ",3,0,"Low",2.653212514,"Xp .3.1"
"4","1","Xp ",1,3,"Low",5.381340747,"Xp .1.1"
"5","1","Xp ",2,3,"Low",5.290730039,"Xp .2.1"
"6","1","Xp ",3,3,"Low",5.574031268,"Xp .3.1"
"7","1","Xp ",1,6,"Low",6.763031106,"Xp .1.1"
"8","1","Xp ",2,6,"Low",7.311919338,"Xp .2.1"
"9","1","Xp ",3,6,"Low",7.421063808,"Xp .3.1"
"10","1","Xp ",1,9,"Low",6.596940547,"Xp .1.1"
"11","1","Xp ",2,9,"Low",6.381340747,"Xp .2.1"
"12","1","Xp ",3,9,"Low",6.458637849,"Xp .3.1"
"13","1","Xp ",1,14,"Low",6.419129308,"Xp .1.1"
"14","1","Xp ",2,14,"Low",6.283725137,"Xp .2.1"
"15","1","Xp ",3,14,"Low",6.439332694,"Xp .3.1"
"16","1","Xp of XpPc",1,0,"Low",2.566732029,"Xp of XpPc.1.1"
"17","1","Xp of XpPc",2,0,"Low",2.864065879,"Xp of XpPc.2.1"
"18","1","Xp of XpPc",3,0,"Low",2.458637849,"Xp of XpPc.3.1"
"19","1","Xp of XpPc",1,3,"Low",4.725298943,"Xp of XpPc.1.1"
"20","1","Xp of XpPc",2,3,"Low",5.112898118,"Xp of XpPc.2.1"
"21","1","Xp of XpPc",3,3,"Low",5.091447117,"Xp of XpPc.3.1"
"22","1","Xp of XpPc",1,6,"Low",7.322138503,"Xp of XpPc.1.1"
"23","1","Xp of XpPc",2,6,"Low",6.739118948,"Xp of XpPc.2.1"
"24","1","Xp of XpPc",3,6,"Low",7.126873236,"Xp of XpPc.3.1"
"25","1","Xp of XpPc",1,9,"Low",6.713975913,"Xp of XpPc.1.1"
"26","1","Xp of XpPc",2,9,"Low",6.8026134,"Xp of XpPc.2.1"
"27","1","Xp of XpPc",3,9,"Low",6.52117896,"Xp of XpPc.3.1"
"28","1","Xp of XpPc",1,14,"Low",5.386944624,"Xp of XpPc.1.1"
"29","1","Xp of XpPc",2,14,"Low",6.658295755,"Xp of XpPc.2.1"
"30","1","Xp of XpPc",3,14,"Low",6.39505432,"Xp of XpPc.3.1"
"31","1","Xp of XpXa",1,0,"Low",2.720159303,"Xp of XpXa.1.1"
"32","1","Xp of XpXa",2,0,"Low",2.258278015,"Xp of XpXa.2.1"
"33","1","Xp of XpXa",3,0,"Low",1.397940009,"Xp of XpXa.3.1"
"34","1","Xp of XpXa",1,3,"Low",5.1981414,"Xp of XpXa.1.1"
